"Широта";"Долгота";"Описание";"Подпись";"Номер метки"
56.101951;94.584003;"Деятельность НКО: Здоровье и спорт

Основная деятельность: Развитие компьютерного спорта и фиджитал-спорта в Зеленогорске, проведение мероприятий, турниров и просветительской работой в данной области.

Ссылка на социальные сети: 
группа ВК: https://vk.com/cyberatom_zlk24 
канал Телеграм: https://t.me/cyberatom_zlk24

ЦА: 
Подростки 12-17 лет, а также их родители. С первыми ведем непосредственную работу по развитию их навыков в киберспорте и фиджитале, а со вторыми веду просветительскую работу и просто рассказываю, что киберспорт это не бесконтрольный гейминг и не игромания, а такое же спортивное направление, как футбол, шахматы и так далее, он также развивает определенные навыки, и дети там также получают определенные знания и необходимую для них в наше время социализацию.

План мероприятий до конца года:
В планах до конца года открыть детский клуб, уже подготовительные работы ведутся, смета на оборудование подготовлена, но основная проблема в его дороговизне. Открыть клуб на 10 компьютеров, две приставки и 1 VR-шлем даже не на топовом оборудовании, но на более-менее актуальном, стоит по моим подсчетам порядка полутора миллионов. Это без затрат на ремонт и остальные расходы";"АНО ""Клуб компьютерного спорта и фиджитал-спорта ""Кибер-атом""";
56.111358;94.611644;"Деятельность НКО: Социальная защита (помощь людям в трудной ситуации).

Основная деятельность: Оказание психолого-педагогической помощи семьям с детьми,  в том числе с инвалидностью и ОВЗ.

Ссылка на социальные сети: https://vk.com/sunny_gorod

ЦА: 
Семьи с детьми от рождения до 18 лет.

План мероприятий на год: 
Проект ""Передышка"" (поддержан КЦПРОИ).";"АНО РЦ ""Солнечный Город""";
56.109014;94.617411;"Деятельность НКО: Местное сообщество и развитие территорий.

Ссылка на социальные сети: https://vk.com/elenazivaeva";"АНО КРЦРМСИГ ЕЛЕНЫ ЖИВАЕВОЙ ";
56.111579;94.588916;"Деятельность НКО: Местное сообщество и развитие территорий.

Ссылка на социальные сети: https://m.vk.com/resyrs.center?from=groups";"АНО Ресурсный центр";
56.111057;94.591656;"Деятельность НКО: Социальная защита (помощь людям в трудной ситуации).

Основная деятельность: Предоставление социальных услуг на дому.

Ссылка на социальные сети: 
https://m.vk.com/liniya_zhizni_zel
http://liniyazhiznizel.ru 
https://ok.ru/group/61396158775366

ЦА:
Пенсионеры, инвалиды, семьи с детьми инвалидами, люди оказавшись в трудной жизненной ситуации.

План мероприятий на год:
1) Ежемесячно поздравление юбиляров на дому
2) Август - Сентябрь (Акция корзина добра сбор продуктов питания для малообеспечненых?)
3) Октябрь-День пожилого человека (поздравление презентами пожилых людей на дому)
4) Ноябрь - Международный день инвалида (посещение на дому молодых инвалидов с презентами)
5) День матери - поздравление многодетных матерей 
6) Декабрь - Новогодний экспресс (поздравление получателей социальных услуг)
Во всех мероприятиях нам помогают партнёры, садики, школы и техникум.";"АНО СС ""Линия жизни"" ";
56.111057;94.591656;"Деятельность НКО: Культура и образование.

Ссылка на социальные сети: https://vk.com/anocdrdzelenogorsk?from=groups";"АНО Центр досуга и развития детей";
56.313543;43.975893;"Деятельность НКО: Защита животных

Об НКО: Благотворительный Фонд ""Планета Кошек"" — это проект помощи бездомным животным в Нижнем Новгороде!
Благотворительный Фонд ""Планета Кошек"" входит в состав многофункционального Центра помощи и реабилитации животных. Деятельность Фонда направлена на спасение животных, оказавшихся в сложных жизненных ситуация, брошенных на улице, нуждающихся в ветеринарной помощи!

Ссылка на социальные сети: https://vk.com/planetakosheknn";"БФ «Планета кошек»";
55.10428;36.618242;"Деятельность НКО: Другое.
На стадии формирования концепции и формализации идеи.

Ссылка на социальные сети: https://vk.com/rosatomtech";"АНО ДПО ""Техническая академия Росатома"" ";
56.595946;84.90638;"Деятельность НКО: Социальная защита (помощь людям в трудной ситуации).

Ссылка на социальные сети: 
https://ok.ru/profile/566417452251/statuses/156787104735451";"ТРОО ""ВПЦ"" МИРНЫЙ ВОИН""";
56.080623;60.747808;"Деятельность НКО: Социальная защита (помощь людям в трудной ситуации).

Ссылка на социальные сети: https://vk.com/bdsnz";"СГОО БУМЕРАНГ ДОБРА";
56.091145;60.733785;"Деятельность НКО: Социальная защита (помощь людям в трудной ситуации).

Ссылка на социальные сети: https://vk.com/snzzhensovet";"ДоброЦентр при СО НКО Бумеранг добра ";
56.089272;60.732365;"Деятельность НКО: Местное сообщество и развитие территорий.

Основная деятельность: Поддержка семей с детьми: многодетных, приемных семей, семей в городских общежитиях через Семейный клуб, развитие социального предпринимательства. Содействие повышению качества жизни старшего поколения через Клуб общения старшего поколения. Поддержка общественного движения по сохранению и  развитию национальных культур в Снежинске. Защита прав женщин.

Ссылка на социальные сети: https://vk.com/sovetgensnz?from=groups

ЦА:
Женщины, семьи с детьми, пенсионеры.

План мероприятий на год: 
1) Открыть Семейный клуб и Центр долголетия";"Снежинская городская общественная организация ""Союз женщин Снежинска""";
52.759149;103.635975;"Деятельность НКО: Местное сообщество и развитие территорий.

Основная деятельность: Активизация/развитие местного сообщества для улучшения жизни в городе.

Ссылка на социальные сети: https://vk.com/club166583301

ЦА:
Неравнодушные жители, женщины 40+, семьи с детьми.
";"БФМС Новое Усолье";
52.748118;103.66986;"Деятельность НКО: Другое.

Основная деятельность: Организация работает по поддержке людей с инвалидностью и развитию адаптивной физической культуры и спорта в городе. Группа изучает более 25 человек различных нозологических групп. 

Ссылка на социальные сети: -

ЦА: 
Люди с инвалидностью всех возрастов.";"УГМО ИОРОООО ВОИ";
55.763594;60.71192;"Деятельность НКО: Другое.

Об НКО: Автономная некоммерческая организация помощи детям с ограниченными возможностями здоровья, инвалидностью и их семьям.

Ссылка на социальные сети: https://vk.com/club207076122";"АНО «Твердыми шагами»";
55.030664;73.299626;"Деятельность НКО: Социальная защита (помощь людям в трудной ситуации).

Основная деятельность: Помощь семьям воспитывающих детей с инвалидностью. Обучение неговорящих детей общаться при помощи альтернативной коммуникации. Открываем новое направление ранняя помощь детям до 3х  лет, имеющим трудности в развитии.

Ссылка на социальные сети: https://vk.com/perevaluchko

ЦА: 
Семьи воспитывающие детей до 3х лет, имеющие трудности в развитии, проживающие в Омском регионе.
Семьи воспитывающие неговорящих детей, нуждающихся в альтернативных способах общения, проживающие в городе Омске. 

План мероприятий до конца года: 
1) 31.07.25 Встреча с зам министра образования Груздевой - обсуждение дорожной карты развития альтернативной коммуникации в адаптивных школах Омской области. Мероприятия появятся после обсуждения дорожной карты.
2) 31.08.25 Завершение мероприятий проекта - встреч детей с инвалидностью по проекту ""Вокруг света"" поддержанного Министерством труда и социального развития Омской области.
3) 1.08.2025 Старт волонтерского проекта совместно с Омским филиалом ПАО ""Ростелеком"" «Чтение без границ».
4) 19.12.2025 Проведение двух новогодних мероприятий для детей с инвалидностью, поддержка Администрации города Омска.
5) Ждем результаты гранта Министерства внутренней политики Омской области. Проект ""Музыка для всех"", в рамках которого заложено сотрудничество с музыкальными школами региона для расширения компетенций педагогов в работе с особенными детьми.
5) В рамках субсидии Министерства труда и социального развития проводим занятия на безвозмездной основе для 30 ребят, учим общаться при помощи альтернативной коммуникации. (индивидуальные и групповые занятия"".
Занятия проводятся регулярно и постоянно.
6) С 15 сентября стартуют занятия в рамках ранней помощи для детей с трудностями в развитии до 3х лет. Ведем набор детей.

";"АНО СЦСА НАШИ ДЕТИ";
